locationID,verbatimLocation,locality,country,region,taxonID,taxon,habitat,firstRecordEvent,verbatimFirstRecordEvent,confidenceFirstRecordEvent,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,datasetName,bibliographicCitation,accessRights
"",United States,United States,"","",31059,Phytophthora lateralis,"",-1923-2009,1923 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",13906,Phytophthora ramorum,"",-1995-2009,1995 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7119,Pilea microphylla,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28591,Pimenta dioica,"",-1919-2005,1919 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",3773,Pineus boerneri,"",-1939-2009,1939 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7125,Pinus elliottii,"",-1956-2005,1956 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7130,Pinus patula,"",-1944-2005,1944 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1055,Pinus pinaster,"",-1976-2005,1976 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7133,Pinus radiata,"",-1932-2005,1932 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7135,Pinus taeda,"",-1932-2005,1932 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28599,Piper aduncum,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28601,Piper betle,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28602,Piscidia piscipula,"",-1918-2005,1918 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28608,Pisonia grandis,"",-1952-2005,1952 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7141,Pistia stratiotes,"",-1938-2005,1938 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",14834,Pithecellobium dulce,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",28609,Pithemera bicincta,"",-1968-2018,>1968 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28610,Pittosporum pentandrum,"",-1985-2005,1985 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",9534,Pittosporum tobira,"",-1943-2005,1943 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7148,Pittosporum undulatum,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24751,Pittosporum viridiflorum,"",-1954-2005,1954 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",3784,Pityogenes bidentatus,"",-1988-2009,1988 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28633,Platymiscium stipulare,"",-1916-2005,1916 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7157,Plectranthus amboinicus,"",-1958-2005,1958 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28642,Plectranthus cylindraceus,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28645,Plectranthus prostratus,"",-1976-2005,1976 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7164,Plectranthus verticillatus,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28646,Pleiostachya pruinosa,"",-1940-2005,1940 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",31090,Podarcis muralis,"",-1951-2009,1951 (Kraus (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7169,Podranea ricasoliana,"",-1940-2005,1940 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",28703,Pontodrilus litoralis,"",-1942-2018,>1942 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",18452,Pontoscolex corethrurus,"",-1900-2018,>1900 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",3830,Popillia japonica,"",-1916-2009,1916 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28704,Poranopsis paniculata,"",-1936-2005,1936 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",18458,Porcellio dilatatus,"",-1923-1996,1923 (Taiti and Howarth (1996)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",8750,Porcellio lamellatus,"",-1973-1996,1973 (Taiti and Howarth (1996)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",14004,Porotachys bisulcatus,"",-1900-2012,<1900 (Bousquet (2012)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",14006,Portulaca grandiflora,"",-1975-2005,1975 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7188,Portulaca pilosa,"",-1922-2005,1922 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Norway,Norway,"","",14012,Potentilla argyrophylla,"",-1900-2000-1900,1900-2000 - 1900,low confidence,alien,alien,alien,"",GISD,GISD,Free
"",United States,United States,"","",3840,Premnobius cavipennis,"",-1939-2009,1939 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",3845,Pristiphora abbreviata,"",-1895-2009,1895 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",3847,Pristiphora erichsonii,"",-1880-2008,1880 (McClory and Gotthardt (2008)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7197,Prosopis juliflora,"",-1920-2005,1920 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28750,Prunus grisea,"",-1992-2005,1992 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",31166,Prymnesium parvum,"",-1965-1965,<1965 (Hulburt (1965)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28783,Pseudogynoxys chenopodioides,"",-1940-2005,1940 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7211,Psidium cattleianum,"",-1908-2005,1908 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",3924,Psyllopsis fraxinicola,"",-1891-2009,1891 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",10085,Pteris vittata,"",-1887-2005,1887 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28833,Ptychosperma macarthurii,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",28840,Pueraria montana,"",-1876-2020,1876 (Lakoba et al (2020)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",11841,Pycnonotus jocosus,"",-1960-2019,1960 (Audubon (2019e)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7230,Pyracantha angustifolia,"",-1937-2005,1937 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7231,Pyracantha crenatoserrata,"",-1933-2005,1933 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",10087,Pyracantha koidzumii,"",-1952-2005,1952 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",3962,Pyrrhalta viburni,"",-1947-2009,1947 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",31205,Quedius cruentus,"",-1983-2009,1983 (Majka et al (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28859,Quercus suber,"",-1943-2005,1943 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",5385,Raffaelea lauricola,"",-2002-2009,2002 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1156,Raphanus raphanistrum,"",-1916-2005,1916 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1157,Raphanus sativus,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",France (Corsica),France (Corsica),"","",19367,Rattus rattus (Linnaeus 1758),"",-300-100,-300 - -100,low confidence,Established,Established,Established,Unintentional,Piero Genovesi,Piero Genovesi,Free
"",Italy (mainland),Italy (mainland),"","",19367,Rattus rattus (Linnaeus 1758),"",-900-500,-900 - -500,low confidence,Established,Established,Established,Unintentional,Piero Genovesi,Piero Genovesi,Free
"",Italy (Sardinia),Italy (Sardinia),"","",19367,Rattus rattus (Linnaeus 1758),"",-3500-2700,-3500 - -2700,low confidence,Established,Established,Established,Unintentional,Piero Genovesi,Piero Genovesi,Free
"",Italy (Sicily),Italy (Sicily),"","",19367,Rattus rattus (Linnaeus 1758),"",-900-500,-900 - -500,low confidence,Established,Established,Established,Unintentional,Piero Genovesi,Piero Genovesi,Free
"",North-west Antarctic Peninsula,North-west Antarctic Peninsula,"","",38538,"Rhagium mordax (Degeer, 1775)",terrestrial,-2007-2008,2007/2008,low confidence,absent,absent,absent,introduced,Leihy et al (2023),Leihy et al (2023),Free
"",United States,United States,"","",7252,Rhaponticum repens,"",-1910-2020,1910 (Lakoba et al (2020)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",8465,Rhinella marina,"",-1932-1981,1932 (Easteal (1981)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",14136,Rhodomyrtus tomentosa,"",-1926-2005,1926 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28899,Rhus taitensis,"",-1944-2005,1944 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",4022,Rhyacionia buoliana,"",-1914-2009,1914 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7264,Rivina humilis,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28918,Rosa X damascena,"",-1908-2005,1908 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7275,Rosa laevigata,"",-1938-2005,1938 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",1175,Rosa multiflora,"",-1866-2020,1866 (Lakoba et al (2020)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28919,Roystonea regia,"",-1937-2005,1937 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7287,Rubus ellipticus,"",-1961-2005,1961 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28922,Rubus glaucus,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7295,Rubus niveus,"",-1965-2005,1965 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24767,Rubus sieboldii,"",-1970-2005,1970 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28924,Ruellia brevifolia,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28926,Ruellia devosiana,"",-1976-2005,1976 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24770,Ruellia prostrata,"",-1944-2005,1944 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1195,Rumex crispus,"",-1910-2005,1910 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",14233,Ruta graveolens,"",-1927-2005,1927 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7316,Saccharum spontaneum,"",-1937-2005,1937 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",8470,Sagittaria latifolia,"",-1919-2005,1919 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Sweden,Sweden,"","",1210,Salix alba,"",-1800-1800,-1800 - 1800,low confidence,Established,Established,Established,"",Strand et al (2018),Strand et al (2018),Free
"",Sweden,Sweden,"","",21404,Salix � smithiana,"",-1800-1800,-1800 - 1800,low confidence,Established,Established,Established,"",Strand et al (2018),Strand et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7329,Salvia coccinea,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7336,Salvinia molesta,"",-1993-2005,1993 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7337,Samanea saman,"",-1919-2005,1919 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Sweden,Sweden,"","",14279,Sambucus ebulus,"",-1800-1800,-1800 - 1800,low confidence,Not applicable NA,Not applicable NA,Not applicable NA,"",Strand et al (2018),Strand et al (2018),Free
"",United States,United States,"","",4048,Samia cynthia,"",-1870-2009,1870 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28943,Sanchezia speciosa,"",-1940-2005,1940 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28944,Sandoricum koetjape,"",-1933-2005,1933 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7341,Sansevieria trifasciata,"",-1931-2005,1931 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28946,Santalum album,"",-1933-2005,1933 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",31316,Satchellius mammalis,"",-1951-2018,>1951 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7344,Sauropus androgynus,"",-1973-2005,1973 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7346,Schefflera actinophylla,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7347,Schefflera arboricola,"",-1987-2005,1987 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28980,Schefflera insularum,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1240,Schinus molle,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",14835,Schinus terebinthifolius,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",4069,Schizolachnus pineti,"",-1961-2009,1961 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",28990,Schlumbergera truncata,"",-1954-2005,1954 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",4070,Sciaphilus asperatus,"",-1884-2009,1884 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",4075,Scolytus mali,"",-1868-2009,1868 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",4076,Scolytus multistriatus,"",-1909-2009,1909 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",4077,Scolytus rugulosus,"",-1878-2009,1878 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Chile,Chile,"","",4080,Scutellista cyanea,"",-1931-1933-1936,"1931, 1933, 1936",low confidence,established,established,established,intentional,Silvia Rossinelli & Sven Bacher,Silvia Rossinelli & Sven Bacher,Permission required from Sven Bacher (svenbacher@unifrch)
"",Hawaiian Islands,Hawaiian Islands,"","",7374,Selaginella kraussiana,"",-1938-2005,1938 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7375,Selaginella umbrosa,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7393,Senna alata,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7394,Senna didymobotrya,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7397,Senna multijuga,"",-1926-2005,1926 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7398,Senna obtusifolia,"",-1940-2005,1940 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24778,Senna pendula var advena,"",-1908-2005,1908 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7403,Senna spectabilis,"",-1952-2005,1952 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",9548,Senna surattensis,"",-1919-2005,1919 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7405,Sequoia sempervirens,"",-1954-2005,1954 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",29053,Sericothrips staphylinus,"",-1991-2001,1991 (Hill et al (2001)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",14378,Serissa japonica,"",-1960-2005,1960 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",9551,Sesbania sesban,"",-1931-2005,1931 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",4096,Sesia apiformis,"",-1880-2009,1880 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7411,Setaria palmifolia,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",29065,Sideroxylon persimile,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",4103,Silvanoprus scuticollis,"",-1999-2019,1999 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Sweden,Sweden,"","",1291,Silybum marianum,"",-1800-1800,-1800 - 1800,low confidence,Established,Established,Established,"",Strand et al (2018),Strand et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",29076,Sinea rileyi,"",-1999-2019,1999 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Sweden,Sweden,"","",1294,Sisymbrium irio,"",-1800-1800,-1800 - 1800,low confidence,Established,Established,Established,"",Strand et al (2018),Strand et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",18694,Solanum mammosum,"",-1939-2005,1939 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7449,Solanum mauritianum,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7457,Solanum seaforthianum,"",-1916-2005,1916 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7458,Solanum torvum,"",-1954-2005,1954 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1312,Solanum tuberosum,"",-1919-2005,1919 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7463,Solidago canadensis,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",29102,Sophora tomentosa,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7477,Spathodea campanulata,"",-1890-2005,1890 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24785,Spathoglottis plicata,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7488,Sphagneticola trilobata,"",-1971-2005,1971 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",29126,Spilopelia chinensis,"",-1917-2019,1917 (Audubon (2019c)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Sweden,Sweden,"","",1342,Spiraea salicifolia,"",-1800-1800,-1800 - 1800,low confidence,Established,Established,Established,"",Strand et al (2018),Strand et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7504,Stachytarpheta jamaicensis,"",-1913-2005,1913 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7505,Stachytarpheta mutabilis,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7506,Stapelia gigantea,"",-1942-2005,1942 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",4164,Stator pruininus,"",-1917-1917,prior to 1917 (Bridwell (1917)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",1350,Stenotaphrum secundatum,"",-1895-2005,1895 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",29177,Sterculia apetala,"",-1915-2005,1915 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
